day,confirmed,deaths
0,555.0,17.0
1,653.0,18.0
2,941.0,26.0
3,1438.0,42.0
4,2118.0,56.0
5,2927.0,82.0
6,5578.0,131.0
7,6165.0,133.0
8,8235.0,171.0
9,9925.0,213.0
10,12038.0,259.0
11,16787.0,362.0
12,19881.0,426.0
13,23892.0,492.0
14,27636.0,564.0
15,30818.0,634.0
16,34392.0,719.0
17,37121.0,806.0
18,40151.0,906.0
19,42763.0,1013.0
20,44803.0,1113.0
21,45222.0,1118.0
22,60370.0,1371.0
23,66887.0,1523.0
24,69032.0,1666.0
25,71226.0,1770.0
26,73260.0,1868.0
27,75138.0,2007.0
28,75641.0,2122.0
29,76199.0,2247.0
30,76843.0,2251.0
31,78599.0,2458.0
