Country,entry,date
United Kingdom,255152.0,2019-01-01
Japan,274093.0,2019-01-01
"China, PRC",340387.0,2019-01-01
South Korea,211479.0,2019-01-01
Germany,105789.0,2019-01-01
Brazil,226552.0,2019-01-01
France,95163.0,2019-01-01
India,110434.0,2019-01-01
Australia,107009.0,2019-01-01
Italy,61663.0,2019-01-01
Spain,50300.0,2019-01-01
Colombia,63551.0,2019-01-01
Argentina,77251.0,2019-01-01
Netherlands,38307.0,2019-01-01
Taiwan,48939.0,2019-01-01
Ireland,27591.0,2019-01-01
Switzerland,24783.0,2019-01-01
Israel,25344.0,2019-01-01
Ecuador,17262.0,2019-01-01
Dominican Republic,23238.0,2019-01-01
Sweden,31475.0,2019-01-01
Chile,31292.0,2019-01-01
Venezuela,32018.0,2019-01-01
Denmark,18581.0,2019-01-01
Peru,24026.0,2019-01-01
Philippines,14490.0,2019-01-01
New Zealand,19511.0,2019-01-01
Costa Rica,36779.0,2019-01-01
Belgium,15397.0,2019-01-01
Jamaica,14012.0,2019-01-01
Bahamas,14495.0,2019-01-01
Norway,16142.0,2019-01-01
Russia,20366.0,2019-01-01
Guatemala,15776.0,2019-01-01
Poland,14914.0,2019-01-01
El Salvador,9829.0,2019-01-01
Austria,11297.0,2019-01-01
Honduras,13396.0,2019-01-01
Panama,18658.0,2019-01-01
Trinidad And Tobago,8564.0,2019-01-01
Singapore,12903.0,2019-01-01
Turkey,16556.0,2019-01-01
Saudi Arabia,18668.0,2019-01-01
Hong Kong,10900.0,2019-01-01
Portugal,8972.0,2019-01-01
Nigeria,7651.0,2019-01-01
Finland,11341.0,2019-01-01
Vietnam,9613.0,2019-01-01
Czech Republic,7519.0,2019-01-01
United Arab Emirates,9305.0,2019-01-01
United Kingdom,234289.0,2018-01-01
Japan,256809.0,2018-01-01
"China, PRC",313261.0,2018-01-01
South Korea,224005.0,2018-01-01
Brazil,226210.0,2018-01-01
Germany,106653.0,2018-01-01
France,91742.0,2018-01-01
India,102965.0,2018-01-01
Australia,99279.0,2018-01-01
Italy,63813.0,2018-01-01
Argentina,101590.0,2018-01-01
Colombia,54210.0,2018-01-01
Spain,46495.0,2018-01-01
Netherlands,38428.0,2018-01-01
Ireland,27268.0,2018-01-01
Sweden,35974.0,2018-01-01
Venezuela,33190.0,2018-01-01
Taiwan,40602.0,2018-01-01
Switzerland,22287.0,2018-01-01
Dominican Republic,19764.0,2018-01-01
Ecuador,14257.0,2018-01-01
Israel,25094.0,2018-01-01
Chile,25587.0,2018-01-01
Denmark,18906.0,2018-01-01
Costa Rica,32614.0,2018-01-01
Philippines,13958.0,2018-01-01
New Zealand,18546.0,2018-01-01
Peru,20414.0,2018-01-01
Belgium,14908.0,2018-01-01
Jamaica,12612.0,2018-01-01
Norway,16534.0,2018-01-01
Bahamas,14028.0,2018-01-01
Guatemala,13830.0,2018-01-01
Russia,23323.0,2018-01-01
Honduras,12607.0,2018-01-01
El Salvador,7835.0,2018-01-01
Poland,14423.0,2018-01-01
Austria,11155.0,2018-01-01
Nigeria,10404.0,2018-01-01
Saudi Arabia,22854.0,2018-01-01
Panama,14839.0,2018-01-01
Trinidad And Tobago,7458.0,2018-01-01
Singapore,11899.0,2018-01-01
Turkey,17066.0,2018-01-01
Hong Kong,10731.0,2018-01-01
Portugal,8561.0,2018-01-01
Finland,11077.0,2018-01-01
South Africa,8272.0,2018-01-01
Haiti,6717.0,2018-01-01
Vietnam,8007.0,2018-01-01
United Kingdom,228304.0,2017-01-01
Japan,272007.0,2017-01-01
"China, PRC",381258.0,2017-01-01
South Korea,206737.0,2017-01-01
Brazil,179561.0,2017-01-01
Germany,112803.0,2017-01-01
France,86023.0,2017-01-01
India,101615.0,2017-01-01
Australia,107396.0,2017-01-01
Italy,68805.0,2017-01-01
Argentina,84620.0,2017-01-01
Colombia,55074.0,2017-01-01
Spain,48944.0,2017-01-01
Netherlands,38067.0,2017-01-01
Ireland,25186.0,2017-01-01
Sweden,37877.0,2017-01-01
Venezuela,32448.0,2017-01-01
Taiwan,44277.0,2017-01-01
Switzerland,20864.0,2017-01-01
Dominican Republic,19076.0,2017-01-01
Ecuador,15729.0,2017-01-01
Israel,21748.0,2017-01-01
Chile,26534.0,2017-01-01
Denmark,19695.0,2017-01-01
Costa Rica,31640.0,2017-01-01
Philippines,14244.0,2017-01-01
New Zealand,20142.0,2017-01-01
Peru,20937.0,2017-01-01
Belgium,14804.0,2017-01-01
Jamaica,13122.0,2017-01-01
Norway,17811.0,2017-01-01
Bahamas,15034.0,2017-01-01
Guatemala,13298.0,2017-01-01
Russia,25525.0,2017-01-01
Honduras,12505.0,2017-01-01
El Salvador,7984.0,2017-01-01
Poland,12144.0,2017-01-01
Austria,11747.0,2017-01-01
Nigeria,10510.0,2017-01-01
Saudi Arabia,26930.0,2017-01-01
Panama,14085.0,2017-01-01
Trinidad And Tobago,7857.0,2017-01-01
Singapore,9742.0,2017-01-01
Turkey,18338.0,2017-01-01
Hong Kong,9383.0,2017-01-01
Portugal,9734.0,2017-01-01
Finland,12471.0,2017-01-01
South Africa,7889.0,2017-01-01
Haiti,7999.0,2017-01-01
Vietnam,9976.0,2017-01-01
United Kingdom,231173.0,2016-01-01
Japan,271888.0,2016-01-01
"China, PRC",295621.0,2016-01-01
South Korea,181347.0,2016-01-01
Brazil,194672.0,2016-01-01
Germany,109903.0,2016-01-01
France,81392.0,2016-01-01
India,93707.0,2016-01-01
Australia,109627.0,2016-01-01
Italy,60108.0,2016-01-01
Argentina,74122.0,2016-01-01
Colombia,55383.0,2016-01-01
Spain,42580.0,2016-01-01
Netherlands,35582.0,2016-01-01
Ireland,22039.0,2016-01-01
Sweden,37569.0,2016-01-01
Venezuela,37935.0,2016-01-01
Taiwan,39844.0,2016-01-01
Switzerland,24149.0,2016-01-01
Dominican Republic,18168.0,2016-01-01
Ecuador,15695.0,2016-01-01
Israel,23258.0,2016-01-01
Chile,26968.0,2016-01-01
Denmark,19625.0,2016-01-01
Costa Rica,30731.0,2016-01-01
Philippines,11215.0,2016-01-01
New Zealand,17874.0,2016-01-01
Peru,21939.0,2016-01-01
Belgium,15781.0,2016-01-01
Jamaica,12907.0,2016-01-01
Norway,16808.0,2016-01-01
Bahamas,13317.0,2016-01-01
Guatemala,13378.0,2016-01-01
Russia,23509.0,2016-01-01
Honduras,11823.0,2016-01-01
El Salvador,8791.0,2016-01-01
Poland,11615.0,2016-01-01
Austria,12555.0,2016-01-01
Nigeria,10750.0,2016-01-01
Saudi Arabia,38317.0,2016-01-01
Panama,17614.0,2016-01-01
Trinidad And Tobago,7066.0,2016-01-01
Singapore,10841.0,2016-01-01
Turkey,20419.0,2016-01-01
Hong Kong,10160.0,2016-01-01
Portugal,7089.0,2016-01-01
Finland,12095.0,2016-01-01
South Africa,7750.0,2016-01-01
Haiti,7048.0,2016-01-01
Vietnam,6901.0,2016-01-01
United Kingdom,206833.0,2015-01-01
Japan,264598.0,2015-01-01
"China, PRC",220972.0,2015-01-01
South Korea,160175.0,2015-01-01
Brazil,248768.0,2015-01-01
Germany,105019.0,2015-01-01
France,77049.0,2015-01-01
India,80022.0,2015-01-01
Australia,99273.0,2015-01-01
Italy,53866.0,2015-01-01
Argentina,60600.0,2015-01-01
Colombia,60160.0,2015-01-01
Spain,38431.0,2015-01-01
Netherlands,32483.0,2015-01-01
Ireland,21290.0,2015-01-01
Sweden,36681.0,2015-01-01
Venezuela,38805.0,2015-01-01
Taiwan,31962.0,2015-01-01
Switzerland,23832.0,2015-01-01
Dominican Republic,15702.0,2015-01-01
Ecuador,12993.0,2015-01-01
Israel,20104.0,2015-01-01
Chile,22844.0,2015-01-01
Denmark,20439.0,2015-01-01
Costa Rica,23499.0,2015-01-01
Philippines,9994.0,2015-01-01
New Zealand,17462.0,2015-01-01
Peru,19581.0,2015-01-01
Belgium,14895.0,2015-01-01
Jamaica,10945.0,2015-01-01
Norway,18462.0,2015-01-01
Bahamas,12128.0,2015-01-01
Guatemala,11697.0,2015-01-01
Russia,25858.0,2015-01-01
Honduras,9780.0,2015-01-01
El Salvador,6643.0,2015-01-01
Poland,10619.0,2015-01-01
Austria,11764.0,2015-01-01
Nigeria,9680.0,2015-01-01
Saudi Arabia,44491.0,2015-01-01
Panama,15633.0,2015-01-01
Trinidad And Tobago,7694.0,2015-01-01
Singapore,10412.0,2015-01-01
Turkey,18696.0,2015-01-01
Hong Kong,9515.0,2015-01-01
Portugal,6702.0,2015-01-01
Finland,11814.0,2015-01-01
South Africa,7661.0,2015-01-01
Haiti,6963.0,2015-01-01
Vietnam,6570.0,2015-01-01
United Kingdom,205585.0,2014-01-01
Japan,283500.0,2014-01-01
"China, PRC",231311.0,2014-01-01
South Korea,145109.0,2014-01-01
Brazil,216233.0,2014-01-01
Germany,97990.0,2014-01-01
France,78073.0,2014-01-01
India,64873.0,2014-01-01
Australia,92618.0,2014-01-01
Italy,53193.0,2014-01-01
Argentina,75689.0,2014-01-01
Colombia,58106.0,2014-01-01
Spain,37170.0,2014-01-01
Netherlands,32378.0,2014-01-01
Ireland,20432.0,2014-01-01
